Web Search interest: world cup
United States; Past 90 days

Interest over time
Day,world cup
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for world cup
City,world cup
Grapevine,100
New York,68
San Francisco,62
Los Angeles,62
Celebration,58
San Jose,52
Newton,49
San Diego,49
Alexandria,46
Seattle,44
Washington,43
Affton,42
Boston,41
Houston,41
Portland,40



Top searches for world cup
world cup 2014,100
world cup schedule,50
fifa,45
fifa world cup,45
the world cup,25
usa,20
world cup usa,20
world soccer cup,20
soccer,20
world cup brazil,10
brazil,10
world cup live,10
fifa 2014,10
us world cup,10
world cup espn,10
espn,10
watch world cup,10
germany,5
germany world cup,5
world cup groups,5
world cup game,5
world cup mexico,5
world cup standings,5
world cup bracket,5
world cup group,5
world cup online,5
fifa schedule,5
world cup tv,5
world cup games,5
world cup scores,5
world cup portugal,5
world cup 2010,5
portugal,5
world cup stream,5
brazil 2014,5
world cup streaming,5
world cup roster,5
ghana,5
ghana world cup,5
spain,5
spain world cup,5
world cup england,5
world cup today,5
italy world cup,5
world cup results,5
usa soccer,5
world cup 2018,5
world cup teams,5
world cup rankings,5



Rising searches for world cup
world cup scores,+550%
world cup standings,+300%
watch world cup,+200%
espn,+180%
world cup espn,+140%
germany,+120%
germany world cup,+110%
portugal,+110%
world cup portugal,+110%
world cup bracket,+100%



