,"Gross domestic product 2012, PPP",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,(millions of,,,,,,,,,
,Ranking,,Economy,international dollars),,,,,,,,,
,,,,,,,,,,,,,
SVN,92,,Slovenia," 58,579 ",,,,,,,,,
AFG,93,,Afghanistan," 57,422 ",b,,,,,,,,
CMR,94,,Cameroon," 56,322 ",,,,,,,,,
CIV,95,,Côte d'Ivoire," 55,453 ",,,,,,,,,
BHR,96,,Bahrain," 54,517 ",,,,,,,,,
UGA,97,,Uganda," 49,338 ",,,,,,,,,
PRY,98,,Paraguay," 49,096 ",,,,,,,,,
SLV,99,,El Salvador," 47,706 ",,,,,,,,,
LUX,100,,Luxembourg," 47,525 ",,,,,,,,,
LVA,101,,Latvia," 44,368 ",,,,,,,,,
ZMB,102,,Zambia," 42,821 ",,,,,,,,,
KHM,103,,Cambodia," 42,183 ",,,,,,,,,
TTO,104,,Trinidad and Tobago," 39,581 ",,,,,,,,,
BIH,105,,Bosnia and Herzegovina," 36,010 ",,,,,,,,,
HND,106,,Honduras," 35,710 ",,,,,,,,,
EST,107,,Estonia," 32,501 ",,,,,,,,,
MDG,108,,Madagascar," 31,254 ",,,,,,,,,
GEO,109,,Georgia," 30,572 ",e,,,,,,,,
SEN,110,,Senegal," 30,355 ",,,,,,,,,
ZAR,111,,"Congo, Dem. Rep."," 30,160 ",,,,,,,,,
GAB,112,,Gabon," 29,895 ",,,,,,,,,
BRN,113,,Brunei Darussalam," 29,814 ",,,,,,,,,
ALB,114,,Albania," 29,734 ",,,,,,,,,
LAO,115,,Lao PDR," 29,673 ",,,,,,,,,
BWA,116,,Botswana," 29,449 ",,,,,,,,,
GNQ,117,,Equatorial Guinea," 28,078 ",,,,,,,,,
CYP,118,,Cyprus," 26,870 ",f,,,,,,,,
NIC,119,,Nicaragua," 25,935 ",,,,,,,,,
BFA,120,,Burkina Faso," 25,588 ",,,,,,,,,
TCD,121,,Chad," 25,375 ",,,,,,,,,
MKD,122,,"Macedonia, FYR"," 24,918 ",,,,,,,,,
MOZ,123,,Mozambique," 24,906 ",,,,,,,,,
COG,124,,"Congo, Rep."," 24,850 ",,,,,,,,,
MLI,125,,Mali," 24,286 ",,,,,,,,,
MNG,126,,Mongolia," 23,583 ",,,,,,,,,
JAM,127,,Jamaica," 23,202 ",,,,,,,,,
ARM,128,,Armenia," 22,023 ",,,,,,,,,
MUS,129,,Mauritius," 21,279 ",,,,,,,,,
NAM,130,,Namibia," 21,002 ",,,,,,,,,
SSD,131,,South Sudan," 19,740 ",b,,,,,,,,
TJK,132,,Tajikistan," 18,908 ",,,,,,,,,
ZWE,133,,Zimbabwe," 18,674 ",,,,,,,,,
PNG,134,,Papua New Guinea," 17,370 ",b,,,,,,,,
BEN,135,,Benin," 17,247 ",,,,,,,,,
HTI,136,,Haiti," 16,299 ",,,,,,,,,
KGZ,137,,Kyrgyz Republic," 16,240 ",,,,,,,,,
RWA,138,,Rwanda," 16,072 ",,,,,,,,,
NER,139,,Niger," 15,432 ",,,,,,,,,
KSV,140,,Kosovo," 15,245 ",b,,,,,,,,
MDA,141,,Moldova," 15,017 ",g,,,,,,,,
GIN,142,,Guinea," 14,169 ",,,,,,,,,
ISL,143,,Iceland," 12,539 ",,,,,,,,,
MLT,144,,Malta," 12,145 ",,,,,,,,,
MWI,145,,Malawi," 11,960 ",,,,,,,,,
MRT,146,,Mauritania," 11,349 ",,,,,,,,,
SLE,147,,Sierra Leone," 9,648 ",,,,,,,,,
MNE,148,,Montenegro," 8,917 ",,,,,,,,,
TGO,149,,Togo," 8,691 ",,,,,,,,,
BHS,150,,"Bahamas, The"," 8,593 ",,,,,,,,,
SUR,151,,Suriname," 8,253 ",,,,,,,,,
SWZ,152,,Swaziland," 7,405 ",,,,,,,,,
BDI,153,,Burundi," 7,384 ",,,,,,,,,
ERI,154,,Eritrea," 7,360 ",b,,,,,,,,
FJI,155,,Fiji," 6,722 ",,,,,,,,,
BTN,156,,Bhutan," 5,654 ",,,,,,,,,
LSO,157,,Lesotho," 4,943 ",,,,,,,,,
GUY,158,,Guyana," 4,899 ",b,,,,,,,,
CAF,159,,Central African Republic," 4,438 ",,,,,,,,,
BRB,160,,Barbados," 4,409 ",,,,,,,,,
MDV,161,,Maldives," 3,881 ",,,,,,,,,
ABW,162,,Aruba," 3,671 ",,,,,,,,,
BMU,163,,Bermuda," 3,436 ",,,,,,,,,
LBR,164,,Liberia," 3,336 ",,,,,,,,,
