Web Search interest: gay
United States; Past 7 days

Interest over time
Day,gay
2014-06-24,75
2014-06-25,80
2014-06-26,77
2014-06-27,82
2014-06-28,100
2014-06-29, 
2014-06-30, 


Top subregions for gay
Subregion,gay
Indiana,100
West Virginia,86
New Mexico,85
Kansas,78
Rhode Island,76
New York,76
Louisiana,74
Mississippi,73
Nevada,72
Florida,72
California,72
Arkansas,71
Oklahoma,71
Delaware,71
Maine,70
Georgia,70
Texas,70
Illinois,69
Tennessee,69
Arizona,68
Kentucky,68
District of Columbia,68
Ohio,66
Alabama,66
New Hampshire,66
Connecticut,65
Maryland,64
North Carolina,64
Utah,63
New Jersey,63
Hawaii,62
Missouri,62
Oregon,62
South Carolina,61
Pennsylvania,61
Massachusetts,61
Virginia,60
Washington,60
Colorado,60
Nebraska,59
Michigan,59
Minnesota,57
Idaho,57
Wisconsin,52
Iowa,51
Alaska,0
Montana,0
North Dakota,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for gay
Metro,gay
Phoenix AZ,100
Los Angeles CA,98
Miami-Ft. Lauderdale FL,97
Detroit MI,96
Philadelphia PA,93
New York NY,93
Chicago IL,90
Houston TX,88
San Francisco-Oakland-San Jose CA,88
Seattle-Tacoma WA,84
Dallas-Ft. Worth TX,84
Atlanta GA,84
Portland OR,82
Washington DC (Hagerstown MD),79
Orlando-Daytona Beach-Melbourne FL,76
Boston MA-Manchester NH,73
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
