time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-27T07:15:19.400Z,33.4362,-116.5965,8.2,1,Ml,11,140.4,0.06288207,0.09,ci,ci15505913,2014-05-27T07:17:59.465Z,"15km SSE of Anza, California",earthquake
2014-05-27T06:50:15.600Z,35.9405,-120.4902,9.9,2.1,Md,51,36,0.01796631,0.07,nc,nc72227776,2014-05-27T09:22:07.568Z,"25km SSW of Coalinga, California",earthquake
2014-05-27T06:49:53.830Z,33.4946667,-116.4866667,12.71,1.09,ml,37,92,0.05845,0.19,ci,ci15505889,2014-05-27T06:53:58.840Z,"18km ESE of Anza, California",earthquake
2014-05-27T06:49:41.500Z,33.4948,-116.4888,12.6,1.4,Ml,16,122.4,0.06288207,0.08,ci,ci15505881,2014-05-27T06:51:55.533Z,"18km ESE of Anza, California",earthquake
2014-05-27T06:39:43.000Z,62.7829,-148.9,56.5,0.8,ml,,,,0.39,ak,ak11274212,2014-05-27T06:52:30.499Z,"67km S of Cantwell, Alaska",earthquake
2014-05-27T06:35:10.000Z,62.2194,-151.1692,70.4,1.5,ml,,,,0.53,ak,ak11274208,2014-05-27T06:52:27.897Z,"56km WSW of Talkeetna, Alaska",earthquake
2014-05-27T06:33:03.500Z,18.1634,-67.0046,27,2,Md,5,136.8,0.07725511,0.05,pr,pr14147004,2014-05-27T07:29:27.373Z,"3km SW of Maricao, Puerto Rico",earthquake
2014-05-27T06:27:23.000Z,64.4895,-145.2981,0,1.2,ml,,,,0.79,ak,ak11274204,2014-05-27T06:52:31.854Z,"54km NNE of Delta Junction, Alaska",earthquake
2014-05-27T06:26:03.700Z,38.8115,-122.8137,1,0.8,Md,17,46.8,0.00898315,0.02,nc,nc72227766,2014-05-27T08:52:07.430Z,"6km NW of The Geysers, California",earthquake
2014-05-27T06:22:10.000Z,62.0787,-149.0336,47.5,1,ml,,,,0.31,ak,ak11274201,2014-05-27T06:52:24.511Z,"32km NNW of Sutton-Alpine, Alaska",earthquake
2014-05-27T05:44:31.510Z,26.6097,55.7275,10,5.1,mb,,74,1.712,1.14,us,usb000r505,2014-05-27T13:48:48.684Z,"66km SW of Qeshm, Iran",earthquake
2014-05-27T05:37:38.930Z,32.8748333,-116.2285,2.95,1.18,ml,18,92,0.04548,0.31,ci,ci15505873,2014-05-27T05:41:26.420Z,"28km ENE of Pine Valley, California",earthquake
2014-05-27T05:30:29.400Z,35.6507,-121.0573,4.4,1,Md,9,194.4,0.05389892,0.03,nc,nc72227761,2014-05-27T08:19:02.303Z,"9km NNE of Cambria, California",earthquake
2014-05-27T05:16:12.100Z,35.5213,-120.8185,4.5,2.1,Md,52,61.2,0.07186522,0.08,nc,nc72227751,2014-05-27T08:23:07.336Z,"10km WSW of Templeton, California",earthquake
2014-05-27T05:15:17.100Z,18.0632,-66.2126,12,2,Md,7,280.8,0.14013718,0.05,pr,pr14147003,2014-05-27T06:01:37.951Z,"2km E of Vazquez, Puerto Rico",earthquake
2014-05-27T05:13:36.400Z,18.6877,-65.7575,74,3,Md,13,205.2,0.42400481,0.27,pr,pr14147002,2014-05-27T13:16:05.737Z,"30km NNE of Vieques, Puerto Rico",earthquake
2014-05-27T05:07:38.000Z,60.813,-146.5212,21.5,2,ml,,,,0.83,ak,ak11274173,2014-05-27T05:28:04.856Z,"36km SSW of Valdez, Alaska",earthquake
2014-05-27T04:58:05.930Z,36.9319992,-121.3103333,7.38,1.43,md,29,122,0.0473,0.05,nc,nc72227741,2014-05-27T07:27:07.141Z,"12km NE of Hollister, California",earthquake
2014-05-27T04:48:32.000Z,61.321,-152.021,100,1.8,ml,,,,1.95,ak,ak11274169,2014-05-27T05:00:06.440Z,"80km NNW of Nikiski, Alaska",earthquake
2014-05-27T04:46:48.000Z,59.9853,-141.435,0,1.5,ml,,,,0.77,ak,ak11274167,2014-05-27T05:00:05.282Z,"56km E of Cape Yakataga, Alaska",earthquake
2014-05-27T04:23:54.610Z,-15.0935,66.8982,10,5.1,mb,,62,12.206,1.07,us,usb000r4xr,2014-05-27T12:27:18.502Z,"Mid-Indian Ridge",earthquake
2014-05-27T04:14:36.000Z,38.7475,-122.7227,3,1.3,Md,15,86.4,0.00898315,0.03,nc,nc72227721,2014-05-27T06:57:07.025Z,"4km SE of The Geysers, California",earthquake
2014-05-27T04:13:05.480Z,32.9246667,-116.2681667,6.58,1.54,ml,36,56,0.01604,0.29,ci,ci15505857,2014-05-27T04:23:55.910Z,"26km ENE of Pine Valley, California",earthquake
2014-05-27T04:08:26.000Z,61.8738,-150.8753,66.1,1.4,ml,,,,0.8,ak,ak11274161,2014-05-27T04:32:51.197Z,"46km WNW of Willow, Alaska",earthquake
2014-05-27T03:40:23.500Z,34.409,-119.7581667,7.89,1.71,ml,12,124,0.04777,0.38,ci,ci15505849,2014-05-27T03:44:21.920Z,"5km WSW of Santa Barbara, California",earthquake
2014-05-27T03:38:36.560Z,33.706,-116.7576667,17.34,1.15,ml,41,25,0.03663,0.21,ci,ci15505841,2014-05-27T03:49:37.870Z,"5km SW of Idyllwild-Pine Cove, California",earthquake
2014-05-27T03:34:40.460Z,-20.8838,-70.4715,26.78,4.5,mwr,,145,0.304,0.9,us,usb000r4x4,2014-05-27T11:37:11.395Z,"80km SSW of Iquique, Chile",earthquake
2014-05-27T03:25:46.810Z,37.3608,-117.1247,6.47,1.97,ml,25,81.2,0.378,,nn,nn00447435,2014-05-27T04:24:17.146Z,"39km SSE of Goldfield, Nevada",earthquake
2014-05-27T03:19:54.900Z,18.9435,-64.9605,8,2.9,Md,9,273.6,0.58839651,0.25,pr,pr14147001,2014-05-27T11:23:39.852Z,"66km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-05-27T03:19:39.600Z,38.7937,-122.8008,3.9,0.5,Md,11,97.2,0.00898315,0.02,nc,nc72227696,2014-05-27T05:26:06.654Z,"4km WNW of The Geysers, California",earthquake
