"","DyadType","FG1","FG2","FG3","FG4","FG5","FG6","BG1","BG2","BG3","BG4","BG5","C1","C2","C3","C4","C5","R1","R2","R3","R4","R5","CT1","CT2","CT3","CT4","CT5","CT6","S1","S2","S3","S4","S5","MODEL1","MODEL2","MODEL3","MODEL4","TRAIN1","TRAIN2","TRAIN4","GENDER","P_FG1","P_FG2","P_FG3","P_FG4","P_FG5","P_FG6","P_BG1","P_BG2","P_BG3","P_BG4","P_BG5","P_C1","P_C2","P_C3","P_C4","P_C5","P_R1","P_R2","P_R3","P_R4","P_R5","P_CT1","P_CT2","P_CT3","P_CT4","P_CT5","P_CT6","P_S1","P_S2","P_S3","P_S4","P_S5","GENDER2","child","parent","trainin"
"30","ms",4,4,5,2,4,2,5,5,5,5,5,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,1,4,4,4,1,4,1,1,4,4,3,1,3,4,4,5,3,4,4,5,4,6,7,4,7,7,4,6,3,1,1,1,1,1,1,6,2,4,4,6,2,3.90625,3.59375,4
"32","ms",7,6,4,5,5,5,2,3,4,2,5,4,2,3,4,2,3,1,1,3,5,3,3,7,3,3,3,3,3,4,4,2,6,4,7,1,2,4,1,1,1,2,2,2,1,1,2,1,2,1,3,3,3,3,3,2,3,2,3,2,2,3,4,4,3,3,4,3,3,4,3,3,2,3.5625,2.4375,2.71428571428571
"33","ms",6,4,2,2,5,2,5,5,4,5,5,5,2,5,4,5,6,2,2,5,2,2,4,4,3,5,4,5,2,3,3,2,3,4,2,4,4,5,4,1,7,4,4,4,4,4,7,7,4,7,7,7,5,7,4,4,7,4,4,4,4,5,4,4,4,4,1,6,4,4,4,4,2,3.75,4.6875,5.28571428571429
"34","fd",6,3,2,6,6,6,7,7,5,7,2,7,4,7,7,7,7,7,6,7,4,4,5,5,4,4,6,7,6,4,5,6,5,4,5,5,4,4,5,2,5,4,4,2,6,6,4,5,4,5,2,5,1,5,5,6,7,7,7,7,4,4,4,5,4,4,6,5,5,4,4,4,1,5.5,4.59375,4.14285714285714
"35","fd",7,6,4,5,5,4,2,2,1,2,1,4,2,4,4,4,5,4,3,4,3,5,4,3,2,2,2,6,5,4,6,5,1,2,2,2,2,2,2,2,7,5,4,2,5,5,7,6,6,6,6,6,4,6,6,2,5,2,6,5,3,4,3,2,4,4,2,6,5,5,5,6,1,3.75,4.09375,5.71428571428571
"37","fd",6,6,6,6,6,6,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,7,7,7,7,7,6,6,6,6,6,6,6,NA,7,6,6,6,6,6,7,7,7,7,7,7,5,7,4,4,4,4,4,4,4,1,1,1,1,1,1,7,7,7,7,7,1,4.375,5.12903225806452,7
"39","fs",1,3,2,1,2,3,2,2,4,3,3,2,4,2,4,4,1,2,2,2,2,4,4,4,6,4,4,2,2,1,1,2,5,7,3,5,3,2,1,1,7,7,6,7,6,6,7,7,6,7,6,6,5,7,5,5,7,7,7,6,7,5,5,6,5,6,6,7,6,7,7,7,1,2.65625,5.53125,6.42857142857143
"40","md",7,7,6,6,7,5,7,7,6,7,4,7,1,7,4,6,4,4,1,2,2,1,2,2,1,1,7,7,7,7,7,7,4,2,6,4,1,2,1,2,4,4,5,1,4,5,6,6,4,5,NA,2,2,2,2,1,1,1,1,1,7,4,4,4,4,4,4,7,7,7,7,7,2,4.875,3.16129032258065,5.33333333333333
"41","md",7,7,6,1,6,2,5,5,5,5,5,5,5,5,5,5,7,7,6,7,7,4,4,4,4,4,4,6,6,4,6,4,5,5,5,5,5,5,5,2,7,7,7,7,7,7,7,7,7,7,1,6,6,6,6,6,7,7,7,7,7,1,1,1,1,1,1,5,5,5,5,5,2,5.09375,5.375,5.14285714285714
"42","md",6,3,6,6,2,4,6,5,5,5,6,6,3,5,6,6,6,5,6,6,6,2,2,2,2,2,2,6,6,6,6,6,6,6,5,6,6,6,6,2,3,2,1,2,3,2,6,5,2,6,6,6,6,6,5,6,7,2,1,6,1,1,1,1,1,1,2,2,2,1,1,1,2,4.71875,3.90625,3.42857142857143
"44","md",7,7,6,6,5,5,7,7,7,7,6,5,4,5,4,3,5,4,2,2,2,7,5,4,5,7,7,5,6,6,6,7,2,6,3,7,2,5,6,2,5,2,6,2,6,3,7,7,5,7,7,6,2,3,5,6,4,5,6,4,3,5,4,4,1,3,7,6,5,5,5,5,2,5.34375,4.5625,5.71428571428571
"45","md",7,6,5,4,5,5,6,6,6,6,4,5,3,4,5,4,7,6,5,5,6,2,3,3,3,4,3,5,5,5,5,5,4,5,5,4,5,5,4,2,7,6,7,5,7,5,7,7,6,7,7,7,6,7,7,7,6,6,5,6,6,4,4,4,5,3,4,7,7,6,6,7,2,4.78125,5.65625,6.71428571428571
"47","ms",1,1,2,1,1,2,1,1,2,1,2,3,2,3,3,NA,2,2,2,2,2,4,3,3,5,3,3,3,3,2,3,3,6,7,7,6,5,7,6,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,2,2,2,2,2,2,2.29032258064516,3.09375,2.14285714285714
"48","ms",5,3,4,3,4,3,6,6,4,5,6,4,3,3,3,4,6,5,3,4,6,2,2,2,2,1,2,4,2,3,3,3,3,3,2,1,2,5,3,1,5,4,2,2,3,3,4,4,4,4,4,5,2,5,4,4,6,6,4,5,6,2,2,2,2,2,2,4,4,5,4,3,2,3.625,3.46875,4.14285714285714
"50","ms",6,3,6,3,5,3,4,5,5,5,6,4,1,2,2,2,5,3,3,4,2,1,2,2,1,1,1,4,2,4,4,4,1,1,1,1,4,3,3,1,7,2,3,3,6,3,7,7,4,7,6,4,4,4,2,4,6,4,2,4,4,1,1,1,1,1,1,6,2,4,2,2,2,3.28125,3.46875,4.14285714285714
"51","ms",7,5,3,2,6,3,7,6,4,5,5,3,1,4,3,1,7,6,3,6,3,1,1,1,1,1,1,7,2,3,5,4,4,3,5,4,5,6,5,1,5,5,4,5,3,2,5,5,4,5,4,5,5,6,6,5,5,4,4,4,5,3,4,4,4,5,5,5,5,6,6,5,2,3.65625,4.375,4.85714285714286
"52","ms",4,3,1,1,2,3,5,4,4,6,4,6,6,6,6,5,3,2,NA,3,1,5,4,2,5,2,2,5,2,3,3,6,2,4,3,3,2,2,2,1,1,1,2,3,2,2,3,3,2,3,4,3,1,1,1,1,2,2,2,1,6,1,3,2,1,3,2,1,2,3,2,2,2,3.67741935483871,2.1875,2.71428571428571
"54","fd",6,6,4,3,5,2,4,4,3,4,3,5,3,4,4,4,6,5,4,3,4,3,4,3,3,1,2,4,4,4,4,3,4,4,3,4,4,4,3,2,6,6,6,6,5,5,6,7,7,7,4,7,3,7,7,5,7,6,4,4,1,1,1,1,1,1,1,7,6,7,7,7,1,3.78125,4.5,6.42857142857143
"55","fs",4,4,1,1,4,1,5,5,4,5,5,2,1,2,1,1,7,1,1,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,NA,NA,4,1,4,3,1,7,3,3,4,4,4,4,4,4,4,4,3,5,4,4,4,1,2.34375,3.1,4.2
"56","md",5,2,5,5,5,1,7,7,7,7,6,4,1,2,1,1,6,3,5,2,7,2,1,2,1,4,6,7,7,6,6,6,1,7,1,7,1,5,1,2,3,3,3,5,3,3,6,6,6,6,7,4,2,6,4,2,6,4,6,2,2,5,4,3,4,4,2,6,6,6,6,6,2,4.28125,4.03125,5.85714285714286
"57","md",6,3,3,2,4,1,5,6,6,6,6,2,2,1,1,1,5,3,3,3,2,2,2,2,2,2,2,6,3,4,3,3,2,3,2,3,2,2,3,2,7,7,4,4,7,4,7,7,6,7,7,7,4,7,4,4,7,7,4,7,6,3,1,1,3,1,1,7,4,6,6,6,2,3.1875,4.65625,6.14285714285714
"58","md",5,5,4,4,5,4,5,5,6,5,4,4,2,6,4,2,5,4,4,2,1,1,1,1,1,2,1,6,7,7,7,6,2,7,5,6,6,6,5,2,5,2,6,6,4,5,4,4,4,6,4,1,2,NA,3,5,5,2,4,4,2,6,NA,3,4,6,7,7,7,4,4,6,2,3.9375,4.26666666666667,4.57142857142857
"59","md",4,4,3,3,5,2,5,5,4,5,5,4,2,4,3,2,6,4,5,4,4,3,2,2,2,3,2,6,4,4,5,4,5,5,4,5,5,5,2,2,6,6,5,6,6,5,7,7,6,6,6,6,5,5,5,6,5,4,5,5,4,2,3,2,2,5,2,6,6,6,6,6,2,3.75,4.78125,6
"62","md",1,1,2,1,1,2,2,3,3,2,7,1,3,4,5,5,1,5,4,3,4,4,4,5,5,6,5,2,2,2,2,3,3,6,3,4,2,3,4,2,5,5,3,3,5,3,4,6,5,6,5,5,1,5,4,4,6,5,4,5,2,4,4,4,1,2,2,5,3,5,5,4,2,3.125,4,4.71428571428571
"63","fd",7,6,5,5,7,4,7,7,5,7,1,4,2,4,4,4,7,3,6,7,5,2,2,2,2,2,2,7,5,5,5,5,1,3,3,3,1,1,2,2,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,1,4.5625,4.6875,6.42857142857143
